City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,San Cristobal,VE,7.7669,-72.225,75.38,81,86,2.55,overcast clouds
332,Kapit,MY,2.0167,112.9333,72.39,100,98,0.83,overcast clouds
333,Erenhot,CN,43.6475,111.9767,28.8,55,100,11.03,overcast clouds
334,Scicli,IT,36.7902,14.7014,42.35,76,2,6.69,clear sky
335,Vallenar,CL,-28.5708,-70.7581,78.67,43,0,7.34,clear sky
336,Erzin,TR,36.9559,36.2,46.36,92,100,8.61,overcast clouds
337,Dalvik,IS,65.9702,-18.5286,42.73,88,100,8.3,overcast clouds
338,Mokhsogollokh,RU,61.4681,128.9203,-17.3,100,98,2.64,overcast clouds
339,Praia Da Vitoria,PT,38.7333,-27.0667,57.45,72,40,16.98,scattered clouds
340,San Angelo,US,31.4638,-100.437,79.02,17,0,15.99,clear sky
341,Caloundra,AU,-26.8,153.1333,71.89,97,57,3.0,light rain
342,Diapaga,BF,12.0708,1.7889,89.65,12,81,5.79,broken clouds
343,Riyadh,SA,24.6877,46.7219,86.14,14,38,17.34,scattered clouds
344,Kavieng,PG,-2.5744,150.7967,82.24,73,100,4.23,overcast clouds
345,Bandarbeyla,SO,9.4942,50.8122,75.92,71,100,9.08,overcast clouds
