City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Bodden Town,KY,2022-03-08 20:37:22,19.2833,-81.25,304.15,67,20,4.12
168,Iberia,US,2022-03-08 20:37:22,29.9502,-91.7507,290.14,72,100,3.6
169,Bonthe,SL,2022-03-08 20:37:23,7.5264,-12.505,299.06,80,49,4.14
170,Barrow,US,2022-03-08 20:37:23,71.2906,-156.7887,256.16,78,100,10.29
171,Pemangkat,ID,2022-03-08 20:37:23,1.1667,108.9667,297.59,92,65,2.52
172,Basoko,CD,2022-03-08 20:37:24,1.2391,23.616,297.82,77,83,0.99
173,Togitsu,JP,2022-03-08 20:37:24,32.8333,129.85,279.81,75,18,1.03
174,Hami,CN,2022-03-08 20:35:46,42.8,93.45,279.74,42,17,3.82
175,Safaga,EG,2022-03-08 20:37:25,26.7292,33.9365,295.12,60,100,2.76
176,Deming,US,2022-03-08 20:37:25,32.2687,-107.7586,286.62,22,0,5.14
177,Saldanha,ZA,2022-03-08 20:37:26,-33.0117,17.9442,295.18,87,0,3.63
178,Kefamenanu,ID,2022-03-08 20:38:26,-9.4467,124.4781,294.77,93,100,0.88
179,Cayenne,GF,2022-03-08 20:38:27,4.9333,-52.3333,299.31,89,75,4.12
180,Buckeye,US,2022-03-08 20:38:28,33.3703,-112.5838,292.97,15,0,1.52
181,Kokopo,PG,2022-03-08 20:38:28,-4.352,152.2633,298.65,81,69,1.38
182,Clyde River,CA,2022-03-08 20:37:04,70.4692,-68.5914,251.28,77,100,7.2
183,La Ronge,CA,2022-03-08 20:38:29,55.1001,-105.2842,261.27,47,75,8.75
184,Aklavik,CA,2022-03-08 20:38:29,68.2191,-135.0107,257.61,85,20,4.12
185,Torbay,CA,2022-03-08 20:38:29,47.6666,-52.7314,276.8,91,100,16.98
186,Shirokiy,RU,2022-03-08 20:38:30,49.758,129.523,258.75,100,94,0.92
187,Ust-Ishim,RU,2022-03-08 20:38:30,57.6935,71.1665,243.39,100,33,1.38
188,Carnarvon,AU,2022-03-08 20:34:28,-24.8667,113.6333,297.19,60,0,3.6
189,Chokurdakh,RU,2022-03-08 20:38:31,70.6333,147.9167,239.08,100,100,0.38
190,Padang,ID,2022-03-08 20:35:11,-0.9492,100.3543,298.65,86,99,1.49
191,Te Anau,NZ,2022-03-08 20:38:31,-45.4167,167.7167,289.42,76,34,0.58
192,Saint-Philippe,RE,2022-03-08 20:38:32,-21.3585,55.7679,298.92,84,58,4.66
193,Luhyny,UA,2022-03-08 20:38:32,51.082,28.4006,268.61,72,9,3.57
194,Kavaratti,IN,2022-03-08 20:38:33,10.5669,72.642,300.75,69,3,2.34
195,Brusciano,IT,2022-03-08 20:38:33,40.9232,14.4239,280.75,47,0,3.09
196,Kamenka,RU,2022-03-08 20:38:34,51.3223,42.7678,265.79,97,99,2.04
197,Lamar,US,2022-03-08 20:38:34,33.6668,-95.5836,278.51,75,100,3.6
198,Waingapu,ID,2022-03-08 20:38:34,-9.6567,120.2641,298.83,80,90,2.15
199,Petrinja,HR,2022-03-08 20:38:35,45.4375,16.29,275.44,67,7,1.56
200,Ngunguru,NZ,2022-03-08 20:38:35,-35.6167,174.5,292.13,78,100,5.58
201,Mehamn,NO,2022-03-08 20:38:36,71.0357,27.8492,275.25,75,40,8.75
202,Ambilobe,MG,2022-03-08 20:36:45,-13.2,49.05,296.88,96,100,0.25
203,Avera,US,2022-03-08 20:38:36,33.194,-82.5271,294.88,50,100,1.02
204,San Juan,AR,2022-03-08 20:37:13,-31.5375,-68.5364,306.08,27,0,4.11
205,Russell,US,2022-03-08 20:38:37,32.3502,-85.1999,290.75,85,100,2.06
206,Hay River,CA,2022-03-08 20:38:37,60.8156,-115.7999,257.14,66,40,7.2
207,Carutapera,BR,2022-03-08 20:38:38,-1.195,-46.02,298.05,91,100,3.26
208,Rovaniemi,FI,2022-03-08 20:38:31,66.5,25.7167,266.82,93,100,2.06
209,Matoury,GF,2022-03-08 20:38:38,4.8483,-52.3317,299.27,83,75,4.12
210,Borgarnes,IS,2022-03-08 20:38:39,64.5383,-21.9206,279.15,90,92,3.22
211,Bethel,US,2022-03-08 20:35:09,41.3712,-73.414,280.67,42,47,0.45
212,San Cristobal,VE,2022-03-08 20:38:39,7.7669,-72.225,297.25,60,68,2.27
213,Eyl,SO,2022-03-08 20:38:41,7.9803,49.8164,297.45,69,71,5.51
214,Jiuquan,CN,2022-03-08 20:38:41,39.7432,98.5174,279.32,27,100,2.18
215,Suntar,RU,2022-03-08 20:38:42,62.1444,117.6319,251.16,97,99,2.18
216,Port Lincoln,AU,2022-03-08 20:38:42,-34.7333,135.8667,288.6,68,11,7.97
217,Klaksvik,FO,2022-03-08 20:38:42,62.2266,-6.589,279.66,82,60,17.93
218,Geraldton,AU,2022-03-08 20:38:43,-28.7667,114.6,297.38,38,14,3.6
219,Nanortalik,GL,2022-03-08 20:37:07,60.1432,-45.2371,264.39,72,5,3.7
220,Nouadhibou,MR,2022-03-08 20:39:44,20.931,-17.0347,291.14,77,100,8.75
221,Tagusao,PH,2022-03-08 20:39:44,9.1924,117.8141,299.02,87,99,5.0
222,Ekhabi,RU,2022-03-08 20:39:44,53.5102,142.9671,254.36,100,99,3.95
223,Upernavik,GL,2022-03-08 20:39:45,72.7868,-56.1549,252.66,92,85,2.45
224,Tautira,PF,2022-03-08 20:39:45,-17.7333,-149.15,302.04,75,84,5.48
225,Morro Bay,US,2022-03-08 20:39:45,35.3658,-120.8499,295.6,29,0,3.31
226,Mongo,TD,2022-03-08 20:39:46,12.1844,18.693,304.83,10,78,1.61
227,Watrous,CA,2022-03-08 20:39:46,51.6668,-105.4679,261.03,79,100,8.75
228,Kautokeino,NO,2022-03-08 20:39:47,69.0125,23.0412,257.09,98,100,1.47
229,Darhan,MN,2022-03-08 20:39:47,49.4867,105.9228,267.34,82,61,4.19
230,Garden City,US,2022-03-08 20:38:33,42.3256,-83.331,278.09,52,75,7.2
231,Turukhansk,RU,2022-03-08 20:39:48,65.8167,87.9833,258.25,97,100,1.34
232,Amapa,BR,2022-03-08 20:37:40,1.0,-52.0,298.04,87,77,1.95
233,Lavrentiya,RU,2022-03-08 20:35:01,65.5833,-171.0,259.27,84,2,2.43
234,Bowen,AU,2022-03-08 20:39:48,-20.0167,148.2333,300.27,86,8,4.42
235,Yongan,CN,2022-03-08 20:39:49,39.6957,113.6871,277.85,39,99,3.24
236,Abu Dhabi,AE,2022-03-08 20:39:41,24.4667,54.3667,302.21,32,0,3.09
237,Pisco,PE,2022-03-08 20:39:49,-13.7,-76.2167,301.18,54,20,6.69
238,Kyra,RU,2022-03-08 20:39:50,49.5776,111.9753,263.72,95,54,2.2
239,Scarborough,GB,2022-03-08 20:37:48,54.2797,-0.4044,280.42,81,32,2.68
240,Inhambane,MZ,2022-03-08 20:39:39,-23.865,35.3833,296.92,78,14,3.05
241,Maceio,BR,2022-03-08 20:39:51,-9.6658,-35.7353,301.84,65,40,4.63
242,Mnogovershinnyy,RU,2022-03-08 20:39:51,53.9353,139.9242,254.95,98,48,1.65
243,Severnyy,RU,2022-03-08 20:39:51,50.677,36.5532,268.17,93,75,3.0
244,Farafangana,MG,2022-03-08 20:39:52,-22.8167,47.8333,297.9,89,23,2.35
245,Dunedin,NZ,2022-03-08 20:39:52,-45.8742,170.5036,288.04,78,99,1.34
246,Adrar,MR,2022-03-08 20:39:53,20.5022,-10.0711,293.93,14,35,4.0
247,Paita,PE,2022-03-08 20:39:53,-5.0892,-81.1144,302.46,67,36,6.88
248,Elizabeth City,US,2022-03-08 20:37:46,36.2946,-76.2511,287.59,53,100,6.69
249,Porto Walter,BR,2022-03-08 20:39:54,-8.2686,-72.7439,302.26,66,53,1.51
250,Terrace Bay,CA,2022-03-08 20:39:54,48.7834,-87.1,271.94,94,100,6.74
251,Vostok,RU,2022-03-08 20:39:54,46.4856,135.8833,259.07,98,70,2.41
252,San Quintin,MX,2022-03-08 20:39:55,30.4833,-115.95,291.04,46,0,4.2
253,Aswan,EG,2022-03-08 20:39:55,24.0934,32.907,299.76,12,0,2.06
254,Concepcion,CL,2022-03-08 20:36:08,-36.827,-73.0498,290.04,67,100,5.66
255,Verkhoyansk,RU,2022-03-08 20:39:56,67.5447,133.385,235.4,100,78,0.47
256,Weligama,LK,2022-03-08 20:39:56,5.9667,80.4167,297.73,90,57,1.97
257,Myitkyina,MM,2022-03-08 20:37:31,25.3833,97.4,291.54,56,0,1.03
